This list contains all games supported by FinalBurn Neo.

724 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| daimakaib	|  	| Dai Makai-Mura (bootleg, Japan)			| ghouls	| 1988	| Capcom	| CPS1		| 					| dmjb2.bin| src/burn/drv/capcom/d_cps1.cpp|
| daimakair	|  	| Dai Makai-Mura (Japan Resale Ver.)			| ghouls	| 1988	| Capcom	| CPS1		| 					| damj_23.8f| src/burn/drv/capcom/d_cps1.cpp|
| daimakai	|  	| Dai Makai-Mura (Japan)				| ghouls	| 1988	| Capcom	| CPS1		| 					| dmj_38.12f| src/burn/drv/capcom/d_cps1.cpp|
| dstlka	|  	| Darkstalkers - the night warriors (940705 Asia)	| dstlk		| 1994	| Capcom	| CPS2		| 					| vama.03a| src/burn/drv/capcom/d_cps2.cpp|
| dstlk		|  	| Darkstalkers - the night warriors (940705 Euro)	| 		| 1994	| Capcom	| CPS2		| 					| vame.03a| src/burn/drv/capcom/d_cps2.cpp|
| dstlku1d	|  	| Darkstalkers - the night warriors (940705 USA Phoenix Edition)| dstlk	| 1994	| bootleg	| CPS2		| 					| vamud.03a| src/burn/drv/capcom/d_cps2.cpp|
| dstlkur1	|  	| Darkstalkers - the night warriors (940705 USA)	| dstlk		| 1994	| Capcom	| CPS2		| 					| vamu.03a| src/burn/drv/capcom/d_cps2.cpp|
| dstlkh	|  	| Darkstalkers - the night warriors (940818 Hispanic)	| dstlk		| 1994	| Capcom	| CPS2		| 					| vamh.03c| src/burn/drv/capcom/d_cps2.cpp|
| dstlku	|  	| Darkstalkers - the night warriors (940818 USA)	| dstlk		| 1994	| Capcom	| CPS2		| 					| vamu.03b| src/burn/drv/capcom/d_cps2.cpp|
| dimahoo	|  	| Dimahoo (000121 Euro)					| 		| 2000	| 8ing / Raizing| CPS2		| 					| gmde.03| src/burn/drv/capcom/d_cps2.cpp|
| dimahoud	|  	| Dimahoo (000121 USA Phoenix Edition)			| dimahoo	| 2000	| bootleg	| CPS2		| 					| gmdud.03| src/burn/drv/capcom/d_cps2.cpp|
| dimahoou	|  	| Dimahoo (000121 USA)					| dimahoo	| 2000	| 8ing / Raizing| CPS2		| 					| gmdu.03| src/burn/drv/capcom/d_cps2.cpp|
| dinohunt	|  	| Dinosaur Hunter (Chinese bootleg, 930223 Asia TW)	| dino		| 1993	| bootleg	| CPS1		| 					| u23| src/burn/drv/capcom/d_cps1.cpp|
| ddsomjr1	|  	| Dungeons & Dragons - shadow over mystara (960206 Japan)| ddsom		| 1996	| Capcom	| CPS2		| 					| dd2j.03b| src/burn/drv/capcom/d_cps2.cpp|
